description_name,description_type
365 MARKET K 888 432-3299,Food & Drink
4TE*TOWN OF HEMPSTEAD TOW,Bills & Utilities
7-ELEVEN,Gas
808BOARDSSURFANDSKATE,Shopping
95847 - WHALERS VILLAGE,Travel
ABC #43 HAWAII,Shopping
ACCESS OPTICAL,Health & Wellness
AGIA INSURANCE TRANS,Bills & Utilities
AIR CAN,Travel
AIRALO,Shopping
ALDI FRCAV096,Shopping
ALLIANZ TRAVEL INS,Bills & Utilities
Amazon Go,Shopping
AMAZON MKTPL,Shopping
AMAZON MKTPLACE PMTS,Shopping
AMAZON PRIME,Bills & Utilities
Amazon web services,Bills & Utilities
Amazon.com,Shopping
AMERICAN AIR,Travel
AMK CITI NY HQ CAFE,Food & Drink
AMK GOLDMAN SACHS MASH,Food & Drink
AMZN Mktp US,Shopping
ANNUAL MEMBERSHIP FEE,Fees & Adjustments
APNA BAZAR FARMERS MARKET,Groceries
APPLE.COM/BILL,Shopping
ARAMARK GOLDMAN SACHS 200,Food & Drink
ARAMARK GS 200 WEST COFFE,Food & Drink
ARTISTIC NAIL,Personal
ASSIETTE PROVENCALE,Food & Drink
AU MOULIN DE MOUANS,Food & Drink
AUCHAN SUP 847,Shopping
AUSTRIAN AIR,Travel
AUTOMATIC PAYMENT - THANK,
AUTOZONE #2972,Automotive
AVENUE SOCIAL KITCHEN,Food & Drink
Avios Group AGL Limited,Travel
AVIS.COM PREPAY,Travel
BAC NYC CAFE,Food & Drink
BAGELICIOUS,Food & Drink
BELLMORE MERRICK CENTRAL,Education
BESTBUY.COM,Shopping
BMCHSD/DRIVER EDUCAT,Education
BOOTS 1008,Health & Wellness
BOSTON UNIV,Education
BOSWELLS DELI,Groceries
BOUTI NICE T1   4760675,Shopping
BP#6627814MERRICK LI SER,Gas
BRITISH A,Travel
CANTINETTA,Food & Drink
CARREFOUR CITY,Groceries
CARREFOURMARKET,Groceries
CBAZAAR.COM,Shopping
CC VENDING,Food & Drink
CHARLES J PUGLISI,Health & Wellness
CHIPOTLE,Food & Drink
Collegeboard*Profile,Education
COLLEGEBOARD*SAT ONLN.,Education
COTTON ON 1143,Shopping
CTLP*CC Vending Inc,Food & Drink
CVS/PHARMACY,Health & Wellness
DD/BR #308652 Q35,Food & Drink
DECATHLON CANNES2134073,Shopping
DELTA       0062209871904,Travel
DELTA AIR ,Travel
DOCTOR ON DEMAND,Health & Wellness
DOLLAR TREE,Shopping
DR FRANK DOLISI,Health & Wellness
